id,doi,title,publication_year,primary_topic,topics,display_name,authorships,cited_by_count,keywords,grants
https://openalex.org/W2148962857,https://doi.org/10.2307/1884852,A Behavioral Model of Rational Choice,1955,Economic theories and models,"b'[{""id"":""https://openalex.org/T12137"",""display_name"":""Economic theories and models"",""score"":0.4389,""subfield"":{""id"":""https://openalex.org/subfields/2002"",""display_name"":""Economics and Econometrics""},""field"":{""id"":""https://openalex.org/fields/20"",""display_name"":""Economics, Econometrics and Finance""},""domain"":{""id"":""https://openalex.org/domains/2"",""display_name"":""Social Sciences""}}]'",A Behavioral Model of Rational Choice,"b'[{""author_position"":""first"",""author"":{""id"":""https://openalex.org/A5108357701"",""display_name"":""Herbert A. Simon"",""orcid"":null},""institutions"":[{""id"":""https://openalex.org/I196817621"",""display_name"":""Carnegie Institution for Science"",""ror"":""https://ror.org/04jr01610"",""country_code"":""US"",""type"":""nonprofit"",""lineage"":[""https://openalex.org/I196817621""]}],""countries"":[""US""],""is_corresponding"":true,""raw_author_name"":""Herbert A. Simon"",""raw_affiliation_strings"":[""Carnegie Institute of Technology""],""affiliations"":[{""raw_affiliation_string"":""Carnegie Institute of Technology"",""institution_ids"":[""https://openalex.org/I196817621""]}]}]'",14167,b'[]',b'[]'
https://openalex.org/W2091579301,,The Sciences of the Artificial,1969,Business Strategy and Innovation,"b'[{""id"":""https://openalex.org/T13402"",""display_name"":""Business Strategy and Innovation"",""score"":0.3131,""subfield"":{""id"":""https://openalex.org/subfields/1408"",""display_name"":""Strategy and Management""},""field"":{""id"":""https://openalex.org/fields/14"",""display_name"":""Business, Management and Accounting""},""domain"":{""id"":""https://openalex.org/domains/2"",""display_name"":""Social Sciences""}}]'",The Sciences of the Artificial,"b'[{""author_position"":""first"",""author"":{""id"":""https://openalex.org/A5108357701"",""display_name"":""Herbert A. Simon"",""orcid"":null},""institutions"":[{""id"":""https://openalex.org/I74973139"",""display_name"":""Carnegie Mellon University"",""ror"":""https://ror.org/05x2bcf33"",""country_code"":""US"",""type"":""education"",""lineage"":[""https://openalex.org/I74973139""]}],""countries"":[""US""],""is_corresponding"":true,""raw_author_name"":""Herbert Alexander Simon"",""raw_affiliation_strings"":[""Carnegie Mellon U.;""],""affiliations"":[{""raw_affiliation_string"":""Carnegie Mellon U.;"",""institution_ids"":[""https://openalex.org/I74973139""]}]}]'",11821,"b'[{""id"":""https://openalex.org/keywords/complex-adaptive-system"",""display_name"":""Complex adaptive system"",""score"":0.5281337},{""id"":""https://openalex.org/keywords/symbol"",""display_name"":""Symbol (formal)"",""score"":0.46519816}]'",b'[]'
https://openalex.org/W2333196491,https://doi.org/10.2307/2063712,Human Problem Solving.,1973,Emotional Intelligence and Performance,"b'[{""id"":""https://openalex.org/T11433"",""display_name"":""Emotional Intelligence and Performance"",""score"":0.8109,""subfield"":{""id"":""https://openalex.org/subfields/3207"",""display_name"":""Social Psychology""},""field"":{""id"":""https://openalex.org/fields/32"",""display_name"":""Psychology""},""domain"":{""id"":""https://openalex.org/domains/2"",""display_name"":""Social Sciences""}},{""id"":""https://openalex.org/T11715"",""display_name"":""Education and Critical Thinking Development"",""score"":0.7124,""subfield"":{""id"":""https://openalex.org/subfields/3304"",""display_name"":""Education""},""field"":{""id"":""https://openalex.org/fields/33"",""display_name"":""Social Sciences""},""domain"":{""id"":""https://openalex.org/domains/2"",""display_name"":""Social Sciences""}},{""id"":""https://openalex.org/T14040"",""display_name"":""Problem Solving Skills Development"",""score"":0.7005,""subfield"":{""id"":""https://openalex.org/subfields/3616"",""display_name"":""Speech and Hearing""},""field"":{""id"":""https://openalex.org/fields/36"",""display_name"":""Health Professions""},""domain"":{""id"":""https://openalex.org/domains/4"",""display_name"":""Health Sciences""}}]'",Human Problem Solving.,"b'[{""author_position"":""first"",""author"":{""id"":""https://openalex.org/A5004784608"",""display_name"":""Nick Axten"",""orcid"":null},""institutions"":[],""countries"":[],""is_corresponding"":false,""raw_author_name"":""Nick Axten"",""raw_affiliation_strings"":[],""affiliations"":[]},{""author_position"":""middle"",""author"":{""id"":""https://openalex.org/A5111461011"",""display_name"":""Allen Newell"",""orcid"":null},""institutions"":[],""countries"":[],""is_corresponding"":false,""raw_author_name"":""Allen Newell"",""raw_affiliation_strings"":[],""affiliations"":[]},{""author_position"":""last"",""author"":{""id"":""https://openalex.org/A5108357701"",""display_name"":""Herbert A. Simon"",""orcid"":null},""institutions"":[],""countries"":[],""is_corresponding"":false,""raw_author_name"":""Herbert A. Simon"",""raw_affiliation_strings"":[],""affiliations"":[]}]'",7028,b'[]',b'[]'
https://openalex.org/W2093705991,https://doi.org/10.2307/2065048,Administrative Behavior: A Study of Decision-Making Processes in Administrative Organization.,1978,Construction Project Management and Performance,"b'[{""id"":""https://openalex.org/T10395"",""display_name"":""Construction Project Management and Performance"",""score"":0.1111,""subfield"":{""id"":""https://openalex.org/subfields/1803"",""display_name"":""Management Science and Operations Research""},""field"":{""id"":""https://openalex.org/fields/18"",""display_name"":""Decision Sciences""},""domain"":{""id"":""https://openalex.org/domains/2"",""display_name"":""Social Sciences""}},{""id"":""https://openalex.org/T11572"",""display_name"":""Information Technology Governance and Strategy"",""score"":0.0995,""subfield"":{""id"":""https://openalex.org/subfields/1404"",""display_name"":""Management Information Systems""},""field"":{""id"":""https://openalex.org/fields/14"",""display_name"":""Business, Management and Accounting""},""domain"":{""id"":""https://openalex.org/domains/2"",""display_name"":""Social Sciences""}},{""id"":""https://openalex.org/T10797"",""display_name"":""Accounting and Organizational Management"",""score"":0.0953,""subfield"":{""id"":""https://openalex.org/subfields/1404"",""display_name"":""Management Information Systems""},""field"":{""id"":""https://openalex.org/fields/14"",""display_name"":""Business, Management and Accounting""},""domain"":{""id"":""https://openalex.org/domains/2"",""display_name"":""Social Sciences""}}]'",Administrative Behavior: A Study of Decision-Making Processes in Administrative Organization.,"b'[{""author_position"":""first"",""author"":{""id"":""https://openalex.org/A5098548825"",""display_name"":""M. Craig Brown"",""orcid"":null},""institutions"":[],""countries"":[],""is_corresponding"":false,""raw_author_name"":""M. Craig Brown"",""raw_affiliation_strings"":[],""affiliations"":[]},{""author_position"":""last"",""author"":{""id"":""https://openalex.org/A5108357701"",""display_name"":""Herbert A. Simon"",""orcid"":null},""institutions"":[{""id"":""https://openalex.org/I180949307"",""display_name"":""Illinois Institute of Technology"",""ror"":""https://ror.org/037t3ry66"",""country_code"":""US"",""type"":""education"",""lineage"":[""https://openalex.org/I180949307""]}],""countries"":[""US""],""is_corresponding"":false,""raw_author_name"":""Herbert A. Simon"",""raw_affiliation_strings"":[""Illinois Inst. Technology, Chicago.""],""affiliations"":[{""raw_affiliation_string"":""Illinois Inst. Technology, Chicago."",""institution_ids"":[""https://openalex.org/I180949307""]}]}]'",4845,"b'[{""id"":""https://openalex.org/keywords/administrative-services-organization"",""display_name"":""Administrative services organization"",""score"":0.5552162}]'",b'[]'
https://openalex.org/W1588942736,https://doi.org/10.1007/978-1-4899-0718-9_31,The Architecture of Complexity,1991,Complex Systems and Decision Making,"b'[{""id"":""https://openalex.org/T11810"",""display_name"":""Complex Systems and Decision Making"",""score"":0.9283,""subfield"":{""id"":""https://openalex.org/subfields/1803"",""display_name"":""Management Science and Operations Research""},""field"":{""id"":""https://openalex.org/fields/18"",""display_name"":""Decision Sciences""},""domain"":{""id"":""https://openalex.org/domains/2"",""display_name"":""Social Sciences""}},{""id"":""https://openalex.org/T11252"",""display_name"":""Evolutionary Game Theory and Cooperation"",""score"":0.9214,""subfield"":{""id"":""https://openalex.org/subfields/3312"",""display_name"":""Sociology and Political Science""},""field"":{""id"":""https://openalex.org/fields/33"",""display_name"":""Social Sciences""},""domain"":{""id"":""https://openalex.org/domains/2"",""display_name"":""Social Sciences""}}]'",The Architecture of Complexity,"b'[{""author_position"":""first"",""author"":{""id"":""https://openalex.org/A5108357701"",""display_name"":""Herbert A. Simon"",""orcid"":null},""institutions"":[],""countries"":[],""is_corresponding"":true,""raw_author_name"":""Herbert A. Simon"",""raw_affiliation_strings"":[],""affiliations"":[]}]'",4677,b'[]',b'[]'
https://openalex.org/W2333057202,https://doi.org/10.2307/3151491,Protocol Analysis: Verbal Reports as Data,1986,Formal Methods in Verification,"b'[{""id"":""https://openalex.org/T10142"",""display_name"":""Formal Methods in Verification"",""score"":0.5047,""subfield"":{""id"":""https://openalex.org/subfields/1703"",""display_name"":""Computational Theory and Mathematics""},""field"":{""id"":""https://openalex.org/fields/17"",""display_name"":""Computer Science""},""domain"":{""id"":""https://openalex.org/domains/3"",""display_name"":""Physical Sciences""}},{""id"":""https://openalex.org/T10215"",""display_name"":""Semantic Web and Ontologies"",""score"":0.4571,""subfield"":{""id"":""https://openalex.org/subfields/1702"",""display_name"":""Artificial Intelligence""},""field"":{""id"":""https://openalex.org/fields/17"",""display_name"":""Computer Science""},""domain"":{""id"":""https://openalex.org/domains/3"",""display_name"":""Physical Sciences""}}]'",Protocol Analysis: Verbal Reports as Data,"b'[{""author_position"":""first"",""author"":{""id"":""https://openalex.org/A5003040398"",""display_name"":""M. Venkatesan"",""orcid"":null},""institutions"":[],""countries"":[],""is_corresponding"":false,""raw_author_name"":""M. Venkatesan"",""raw_affiliation_strings"":[],""affiliations"":[]},{""author_position"":""middle"",""author"":{""id"":""https://openalex.org/A5033303691"",""display_name"":""K. Anders Ericsson"",""orcid"":""https://orcid.org/0000-0002-3763-8089""},""institutions"":[],""countries"":[],""is_corresponding"":false,""raw_author_name"":""K. Anders Ericsson"",""raw_affiliation_strings"":[],""affiliations"":[]},{""author_position"":""last"",""author"":{""id"":""https://openalex.org/A5108357701"",""display_name"":""Herbert A. Simon"",""orcid"":null},""institutions"":[],""countries"":[],""is_corresponding"":false,""raw_author_name"":""Herbert A. Simon"",""raw_affiliation_strings"":[],""affiliations"":[]}]'",4327,b'[]',b'[]'
https://openalex.org/W2091785129,https://doi.org/10.1016/0010-0285(73)90004-2,Perception in chess,1973,Visual and Cognitive Learning Processes,"b'[{""id"":""https://openalex.org/T11516"",""display_name"":""Visual and Cognitive Learning Processes"",""score"":0.995,""subfield"":{""id"":""https://openalex.org/subfields/3205"",""display_name"":""Experimental and Cognitive Psychology""},""field"":{""id"":""https://openalex.org/fields/32"",""display_name"":""Psychology""},""domain"":{""id"":""https://openalex.org/domains/2"",""display_name"":""Social Sciences""}},{""id"":""https://openalex.org/T10813"",""display_name"":""Sport Psychology and Performance"",""score"":0.9853,""subfield"":{""id"":""https://openalex.org/subfields/3204"",""display_name"":""Developmental and Educational Psychology""},""field"":{""id"":""https://openalex.org/fields/32"",""display_name"":""Psychology""},""domain"":{""id"":""https://openalex.org/domains/2"",""display_name"":""Social Sciences""}},{""id"":""https://openalex.org/T10799"",""display_name"":""Data Visualization and Analytics"",""score"":0.9582,""subfield"":{""id"":""https://openalex.org/subfields/1707"",""display_name"":""Computer Vision and Pattern Recognition""},""field"":{""id"":""https://openalex.org/fields/17"",""display_name"":""Computer Science""},""domain"":{""id"":""https://openalex.org/domains/3"",""display_name"":""Physical Sciences""}}]'",Perception in chess,"b'[{""author_position"":""first"",""author"":{""id"":""https://openalex.org/A5020771364"",""display_name"":""William G. Chase"",""orcid"":null},""institutions"":[{""id"":""https://openalex.org/I74973139"",""display_name"":""Carnegie Mellon University"",""ror"":""https://ror.org/05x2bcf33"",""country_code"":""US"",""type"":""education"",""lineage"":[""https://openalex.org/I74973139""]}],""countries"":[""US""],""is_corresponding"":false,""raw_author_name"":""William G. Chase"",""raw_affiliation_strings"":[""Carnegie Mellon University, U.S.A.#TAB#""],""affiliations"":[{""raw_affiliation_string"":""Carnegie Mellon University, U.S.A.#TAB#"",""institution_ids"":[""https://openalex.org/I74973139""]}]},{""author_position"":""last"",""author"":{""id"":""https://openalex.org/A5108357701"",""display_name"":""Herbert A. Simon"",""orcid"":null},""institutions"":[{""id"":""https://openalex.org/I74973139"",""display_name"":""Carnegie Mellon University"",""ror"":""https://ror.org/05x2bcf33"",""country_code"":""US"",""type"":""education"",""lineage"":[""https://openalex.org/I74973139""]}],""countries"":[""US""],""is_corresponding"":false,""raw_author_name"":""Herbert A. Simon"",""raw_affiliation_strings"":[""Carnegie Mellon University, U.S.A.#TAB#""],""affiliations"":[{""raw_affiliation_string"":""Carnegie Mellon University, U.S.A.#TAB#"",""institution_ids"":[""https://openalex.org/I74973139""]}]}]'",4217,b'[]',b'[]'
https://openalex.org/W2041656211,https://doi.org/10.1037/0033-295x.87.3.215,Verbal reports as data.,1980,Speech and dialogue systems,"b'[{""id"":""https://openalex.org/T12031"",""display_name"":""Speech and dialogue systems"",""score"":0.9119,""subfield"":{""id"":""https://openalex.org/subfields/1702"",""display_name"":""Artificial Intelligence""},""field"":{""id"":""https://openalex.org/fields/17"",""display_name"":""Computer Science""},""domain"":{""id"":""https://openalex.org/domains/3"",""display_name"":""Physical Sciences""}}]'",Verbal reports as data.,"b'[{""author_position"":""first"",""author"":{""id"":""https://openalex.org/A5033303691"",""display_name"":""K. Anders Ericsson"",""orcid"":""https://orcid.org/0000-0002-3763-8089""},""institutions"":[{""id"":""https://openalex.org/I74973139"",""display_name"":""Carnegie Mellon University"",""ror"":""https://ror.org/05x2bcf33"",""country_code"":""US"",""type"":""education"",""lineage"":[""https://openalex.org/I74973139""]}],""countries"":[""US""],""is_corresponding"":false,""raw_author_name"":""K. Anders Ericsson"",""raw_affiliation_strings"":[""Carnegie Mellon U.;""],""affiliations"":[{""raw_affiliation_string"":""Carnegie Mellon U.;"",""institution_ids"":[""https://openalex.org/I74973139""]}]},{""author_position"":""last"",""author"":{""id"":""https://openalex.org/A5108357701"",""display_name"":""Herbert A. Simon"",""orcid"":null},""institutions"":[],""countries"":[],""is_corresponding"":false,""raw_author_name"":""Herbert A. Simon"",""raw_affiliation_strings"":[],""affiliations"":[]}]'",4213,b'[]',b'[]'
https://openalex.org/W1510672157,https://doi.org/10.7551/mitpress/4711.001.0001,Models of Bounded Rationality,1997,Economic theories and models,"b'[{""id"":""https://openalex.org/T12137"",""display_name"":""Economic theories and models"",""score"":0.6207,""subfield"":{""id"":""https://openalex.org/subfields/2002"",""display_name"":""Economics and Econometrics""},""field"":{""id"":""https://openalex.org/fields/20"",""display_name"":""Economics, Econometrics and Finance""},""domain"":{""id"":""https://openalex.org/domains/2"",""display_name"":""Social Sciences""}},{""id"":""https://openalex.org/T10785"",""display_name"":""Economic Theory and Institutions"",""score"":0.5824,""subfield"":{""id"":""https://openalex.org/subfields/2002"",""display_name"":""Economics and Econometrics""},""field"":{""id"":""https://openalex.org/fields/20"",""display_name"":""Economics, Econometrics and Finance""},""domain"":{""id"":""https://openalex.org/domains/2"",""display_name"":""Social Sciences""}},{""id"":""https://openalex.org/T11270"",""display_name"":""Complex Systems and Time Series Analysis"",""score"":0.5333,""subfield"":{""id"":""https://openalex.org/subfields/2002"",""display_name"":""Economics and Econometrics""},""field"":{""id"":""https://openalex.org/fields/20"",""display_name"":""Economics, Econometrics and Finance""},""domain"":{""id"":""https://openalex.org/domains/2"",""display_name"":""Social Sciences""}}]'",Models of Bounded Rationality,"b'[{""author_position"":""first"",""author"":{""id"":""https://openalex.org/A5108357701"",""display_name"":""Herbert A. Simon"",""orcid"":null},""institutions"":[],""countries"":[],""is_corresponding"":true,""raw_author_name"":""Herbert A. Simon"",""raw_affiliation_strings"":[],""affiliations"":[]}]'",4174,"b'[{""id"":""https://openalex.org/keywords/satisficing"",""display_name"":""Satisficing"",""score"":0.957829},{""id"":""https://openalex.org/keywords/bounded-rationality"",""display_name"":""Bounded rationality"",""score"":0.8999192},{""id"":""https://openalex.org/keywords/theme"",""display_name"":""Theme (computing)"",""score"":0.42657375},{""id"":""https://openalex.org/keywords/empirical-research"",""display_name"":""Empirical Research"",""score"":0.41692507}]'",b'[]'
https://openalex.org/W2319350549,https://doi.org/10.2307/2228083,Models of Man.,1959,Economic theories and models,"b'[{""id"":""https://openalex.org/T12137"",""display_name"":""Economic theories and models"",""score"":0.1457,""subfield"":{""id"":""https://openalex.org/subfields/2002"",""display_name"":""Economics and Econometrics""},""field"":{""id"":""https://openalex.org/fields/20"",""display_name"":""Economics, Econometrics and Finance""},""domain"":{""id"":""https://openalex.org/domains/2"",""display_name"":""Social Sciences""}}]'",Models of Man.,"b'[{""author_position"":""first"",""author"":{""id"":""https://openalex.org/A5001477731"",""display_name"":""G. L. S. Shackle"",""orcid"":null},""institutions"":[{""id"":""https://openalex.org/I146655781"",""display_name"":""University of Liverpool"",""ror"":""https://ror.org/04xs57h96"",""country_code"":""GB"",""type"":""education"",""lineage"":[""https://openalex.org/I146655781""]}],""countries"":[""GB""],""is_corresponding"":true,""raw_author_name"":""G. L. S. Shackle"",""raw_affiliation_strings"":[""University of Liverpool""],""affiliations"":[{""raw_affiliation_string"":""University of Liverpool"",""institution_ids"":[""https://openalex.org/I146655781""]}]},{""author_position"":""last"",""author"":{""id"":""https://openalex.org/A5108357701"",""display_name"":""Herbert A. Simon"",""orcid"":null},""institutions"":[],""countries"":[],""is_corresponding"":false,""raw_author_name"":""Herbert A. Simon"",""raw_affiliation_strings"":[],""affiliations"":[]}]'",3748,b'[]',b'[]'
