publication_year,category,type,count
1920,Arts and Humanities,field,5
1920,"Categorization, perception, and language",primary_topic,1
1920,Cognitive Neuroscience,subfield,2
1920,Developmental and Educational Psychology,subfield,3
1920,Experimental and Cognitive Psychology,subfield,2
1920,Language Development and Disorders,primary_topic,2
1920,Language and Linguistics,subfield,5
1920,"Language, Discourse, Communication Strategies",primary_topic,1
1920,Life Sciences,domain,2
1920,Linguistic Variation and Morphology,primary_topic,1
1920,Linguistics and Language,subfield,1
1920,Multisensory perception and integration,primary_topic,1
1920,Neurobiology of Language and Bilingualism,primary_topic,2
1920,Neuroscience,field,2
1920,Psychology,field,5
1920,Second Language Acquisition and Learning,primary_topic,1
1920,Social Sciences,domain,11
1920,Social Sciences,field,1
1920,"Syntax, Semantics, Linguistic Variation",primary_topic,4
1937,Arts and Humanities,field,1
1937,History and Philosophy of Science,subfield,1
1937,Philosophy and History of Science,primary_topic,1
1937,Social Sciences,domain,1
1945,Aerospace Engineering,subfield,5
1945,Engineering,field,5
1945,Nuclear Engineering Thermal-Hydraulics,primary_topic,5
1945,Physical Sciences,domain,5
1947,Developmental and Educational Psychology,subfield,1
1947,Educational Strategies and Epistemologies,primary_topic,1
1947,Higher Education Governance and Development,primary_topic,1
1947,Mathematics,field,1
1947,Physical Sciences,domain,1
1947,Political Science and International Relations,subfield,1
1947,Psychology,field,1
1947,Social Sciences,domain,2
1947,Social Sciences,field,1
1947,Statistics Education and Methodologies,primary_topic,1
1947,Statistics and Probability,subfield,1
1949,General Health Professions,subfield,1
1949,Health Professions,field,1
1949,Health Sciences,domain,1
1949,Health and Conflict Studies,primary_topic,1
1950,Advanced Statistical Methods and Models,primary_topic,1
1950,Agricultural and Biological Sciences,field,1
1950,Economic Theory and Institutions,primary_topic,1
1950,Economics and Econometrics,subfield,1
1950,"Economics, Econometrics and Finance",field,1
1950,Food Science,subfield,1
1950,Life Sciences,domain,1
1950,Mathematics,field,1
1950,Physical Sciences,domain,1
1950,Public Administration,subfield,1
1950,Public Policy and Administration Research,primary_topic,1
1950,Sensory Analysis and Statistical Methods,primary_topic,1
1950,Social Sciences,domain,2
1950,Social Sciences,field,1
1950,Statistics and Probability,subfield,1
1951,Cognitive Neuroscience,subfield,1
1951,Cognitive Science and Education Research,primary_topic,1
1951,Decision Sciences,field,1
1951,Efficiency Analysis Using DEA,primary_topic,1
1951,Evolutionary Game Theory and Cooperation,primary_topic,1
1951,Life Sciences,domain,1
1951,Management Science and Operations Research,subfield,1
1951,Neuroscience,field,1
1951,Social Sciences,domain,2
1951,Social Sciences,field,1
1951,Sociology and Political Science,subfield,1
1952,Advanced Scientific Research Methods,primary_topic,1
1952,Agricultural and Biological Sciences,field,2
